file_name;time (s);sent (msg/s);received (msg/s);min (us);median (us);75th (us);95th (us);99th (us)
test-000938-881;178,001;1032;55496;172903464;175230747;175794992;176514116;176826326
test-000938-881;179,001;1235;54126;174033039;176168019;176675726;177489311;177711844
test-000938-881;180,001;2095;52383;174337442;177263051;177792345;178630376;178896395
test-000938-881;181,001;1291;57634;176002645;178178334;178592925;179518853;179785520
test-000938-881;182,001;617;52745;176969723;179136152;179569687;180562198;180912141
test-000938-881;183,001;0;55412;178510785;180192845;180807439;181601203;181821840
test-000938-881;184,001;0;57691;178973328;181266014;182003448;182571104;182867273
test-000938-881;185,001;1047;50120;180253267;182330599;183144412;183607341;183762165
test-000938-881;186,001;0;56496;181045870;183760690;184299442;184674888;184864718
test-000938-881;187,001;2523;56230;181806385;184657303;185255499;185699499;186011113
test-000938-881;188,001;0;58137;182817781;185869421;186305501;186665279;186791740
test-000938-881;189,001;816;58473;183816084;186641629;187226044;187639048;187871177
test-000938-881;190,001;0;57602;184789758;187931301;188304032;188673630;188906360
test-000938-881;191,001;3513;55655;185809087;188449878;189028037;189585409;189821564
test-000938-881;192,001;1320;54819;186794006;189762769;190291614;190648727;190884850
test-000938-881;193,001;1290;58591;187961175;190833570;191299782;191672447;191848130
test-000938-881;194,001;8639;55648;188885239;191822030;192227428;192598479;192840118
test-000938-881;195,001;8842;55575;189808903;192600246;193049314;193590611;193821455
test-000938-881;196,001;2024;58592;189902281;193467141;194055735;194586656;194803737
test-000938-881;197,001;0;54760;190791267;194312487;194989306;195539294;195730937
test-000938-881;198,001;0;61482;148968438;195167585;195928572;196547220;196700586
test-000938-881;199,001;0;53030;149151367;196287818;197016651;197548908;197743507
test-000938-881;200,001;846;59028;150195413;197041211;197774142;198516036;198769798
test-000938-881;201,001;0;52600;151138257;198002666;198552514;199416915;199652365
test-000938-881;202,001;0;55792;152159393;198934288;199545341;200499390;200671964
test-000938-881;203,001;0;55971;153140317;199882066;200395995;201378429;201670728
test-000938-881;204,001;0;53452;154134306;200853656;201272422;202316444;202608255
test-000938-881;205,001;0;54610;155172573;201956688;202373341;203373485;203742946
test-000938-881;206,001;0;53764;156209262;202916362;203272740;204339666;204570666
test-000938-881;207,001;0;53526;157198102;203994307;204397053;205398273;205649912
test-000938-881;208,001;702;55307;158293864;204998040;205532497;206392319;206582520
test-000938-881;209,001;4507;56498;159309832;205991076;206683182;207368227;207605981
test-000938-881;210,001;0;56175;160165771;207088673;207897532;208445143;208596666
test-000938-881;211,001;0;55906;161630041;208098035;208887403;209487862;209681877
test-000938-881;212,001;0;55455;162616803;209072305;209903896;210458882;210658355
test-000938-881;213,001;0;54639;144118756;210211314;210873336;211447259;211621831
test-000938-881;214,001;0;54855;144198506;211261281;212026053;212529121;212695117
test-000938-881;215,001;817;54728;145169285;212100322;212837897;213446385;213569711
test-000938-881;216,001;0;53544;146256727;213302776;214035983;214519021;214734715
test-000938-881;217,001;0;54088;147195450;214299080;214967896;215446746;215596328
test-000938-881;218,001;0;56548;148428662;215269330;215985339;216482363;216672391
test-000938-881;219,001;0;55649;149534315;216247353;216935098;217467884;217679381
test-000938-881;220,001;616;56023;150168755;217244950;217862998;218488675;218612939
test-000938-881;221,001;2163;55881;151625129;218174437;218873417;219418244;219706135
test-000938-881;222,001;0;55080;152236058;219152982;219804634;220439711;220679983
test-000938-881;223,001;1921;56236;153450047;220065629;220734753;221410533;221592267
test-000938-881;224,001;0;58100;174267341;221095983;221852610;222447281;222618217
test-000938-881;225,001;0;57628;155419751;222043505;222752794;223402137;223562318
test-000938-881;226,001;1233;57494;176144560;222814687;223493231;224384160;224593123
test-000938-881;227,001;6310;55644;157536374;223808433;224495811;225264079;225572365
test-000938-881;228,001;8139;50650;159023055;224543598;225147127;226263896;226568353
test-000938-881;229,001;0;55397;159480450;225652046;226258654;227289983;227529061
test-000938-881;230,001;918;61008;177889358;226528654;227153087;228285206;228572930
test-000938-881;231,001;1234;59475;178968785;227607335;228186427;229151571;229424024
test-000938-881;232,001;1908;58199;163073367;228729011;229160320;230311570;230560026
test-000938-881;233,001;1233;55854;163212035;229788660;230318639;231323875;231558913
test-000938-881;234,000;617;58389;179067256;230847587;231490530;232332282;232462898
test-000938-881;235,001;0;58561;165664919;231855555;232511975;233337018;233527135
test-000938-881;236,001;0;59564;181194544;232914255;233867111;234333593;234465426
test-000938-881;237,001;0;52812;167741389;233972913;234759618;235377117;235623309
test-000938-881;238,001;0;55645;168168205;235026408;235792517;236341029;236497680
test-000938-881;239,001;616;54401;169205118;235957132;236737320;237333711;237507101
test-000938-881;240,001;1394;53436;170172260;236874125;237723234;238358510;238514694
test-000938-881;241,001;0;55511;171170073;237773299;238636553;239330307;239517006
test-000938-881;242,001;0;55745;172171391;238817921;239593706;240230250;240469953
test-000938-881;243,001;1448;55898;173162377;240121290;240673842;241280402;241506873
test-000938-881;244,001;2050;55555;174253163;241120819;241739975;242347207;242473362
test-000938-881;245,001;3000;56180;175245461;242018748;242682722;243311335;243475522
test-000938-881;246,001;0;60100;176168028;242934541;243589305;244245381;244494472
test-000938-881;247,001;774;58457;177253284;243932193;244705978;245337383;245537145
test-000938-881;248,001;1046;56905;178228996;244470973;245498005;246311683;246534000
test-000938-881;249,001;1850;56369;179254672;245268563;246313802;247231880;247480119
test-000938-881;250,001;616;54707;180311487;246449700;247564907;248309302;248451177
test-000938-881;251,001;0;58799;170395854;247032022;248074823;249242633;249445838
test-000938-881;252,000;0;55950;170821128;245787156;248805238;250010020;250442264
test-000938-881;253,001;846;56534;171850464;247844276;249889418;251119665;251487418
test-000938-881;254,001;0;59591;173304969;249404343;250890383;252040281;252512611
test-000938-881;255,001;0;56988;173812240;250729156;251900525;253101421;253423459
test-000938-881;256,001;674;57998;186276862;250995959;252837839;254000487;254448692
test-000938-881;257,000;616;52903;175975631;251809911;253849244;255134527;255376923
test-000938-881;258,001;1376;54828;188959790;254269693;254944272;256163589;256449275
test-000938-881;259,001;8014;55488;178268884;255266815;255974625;257152802;257426990
test-000938-881;260,001;6167;55931;190426319;256214663;256907886;258210653;258425842
test-000938-881;261,001;1234;55912;180311171;257422369;258521927;259259318;259525264
test-000938-881;262,001;0;56232;181354573;258482980;259577172;260246191;260429644
test-000938-881;263,001;1261;51193;182349230;259356948;260539835;261177275;261393598
test-000938-881;264,001;6294;55886;194244156;260474841;261574824;262255163;262428049
test-000938-881;265,001;0;59809;189082245;261560595;262691421;263301786;263473474
